# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 13 11:55:02 BRT 2020 [seed=1589381700927]
# -beagle_GPU -beagle_order 1 apes.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-7141.918848178715	-805.1673234716842	-6336.7515247070305	105.39418478738966	403.26049192142926	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-6336.7515247070305	0.0	-803.0552479400587
1000	-2709.2274643110613	-19.65031318610903	-2689.5771511249523	13.19476653902835	26.477032326934573	0.5710176680140734	2.9231764409745797	0.26331733044596717	0.2499999999	0.2398704814872544	0.24681218816677844	1.0	1.0	-2689.5771511249523	0.0	-17.92052889312704
2000	-1850.9845122677398	0.3139964494719525	-1851.2985087172117	0.0695925609010309	0.26643911919452345	2.7834199931781853	7.590128519082645	0.27263348593246134	0.23843465749233958	0.23055432600076023	0.25837753057443885	1.0	1.0	-1851.2985087172117	0.0	4.376789953586984
3000	-1833.4724308695963	0.7788995919708652	-1834.2513304615672	0.07312049741604999	0.2502664886327635	4.559811536502232	13.434949719321297	0.2823369930391794	0.2340676437432002	0.21771208170656198	0.26588328151105844	1.0	1.0	-1834.2513304615672	0.0	6.4452384427212985
4000	-1822.9257959675729	1.2559742102893452	-1824.1817701778623	0.05129618804181432	0.202333265894338	26.22365881508267	23.921872253002316	0.28552492208629116	0.25389317549904117	0.1946986209036093	0.26588328151105844	1.0	1.0	-1824.1817701778623	0.0	11.027391525793874
5000	-1823.5891648540655	1.2958913468601114	-1824.8850562009256	0.05498435497264544	0.21121330174546935	17.698878348662156	27.248314567356477	0.29229010946795064	0.2567614939123379	0.19941510186667152	0.25153329475304	1.0	1.0	-1824.8850562009256	0.0	10.629267803986316
6000	-1816.528899588132	1.4877593534323061	-1818.0166589415642	0.05770560011495016	0.23246755570306604	15.408559746630054	22.34163962938178	0.2919462130712504	0.27843985736653865	0.1790278687588216	0.25058606080338947	1.0	1.0	-1818.0166589415642	0.0	10.092625692335417
7000	-1816.1921892460616	1.5634794853346072	-1817.7556687313963	0.06492821943982174	0.24630624268610135	15.413104420286057	19.711165822835493	0.3001303314647693	0.2657988499354999	0.18358618486275322	0.25048463373697766	1.0	1.0	-1817.7556687313963	0.0	9.879746581914233
8000	-1820.94426793912	0.8732993298730545	-1821.8175672689931	0.053453702959753505	0.2390750593661561	9.452635704140206	25.391961950645456	0.2944209182652319	0.267870171843921	0.18646834159424736	0.25124056829659974	1.0	1.0	-1821.8175672689931	0.0	8.971578623407927
9000	-1819.6965360448257	1.2195976395979269	-1820.9161336844236	0.05796273267564962	0.22566397102803726	27.23872180785998	17.70233699303276	0.2869170659187809	0.2645820810118264	0.18528731371042095	0.26321353935897174	1.0	1.0	-1820.9161336844236	0.0	10.376399655246413
10000	-1817.8543877832603	1.238900231519482	-1819.0932880147798	0.05751442948544739	0.21471609363095923	29.814164806446893	17.645563382118887	0.30783551335129317	0.24787929183152255	0.17805678050823473	0.26622841430894967	1.0	1.0	-1819.0932880147798	0.0	10.573337046158493
11000	-1816.04836374266	0.10526361363204195	-1816.1536273562922	0.07426520725550716	0.2689262856475193	26.06931293444051	18.682170704516604	0.3208105787523267	0.2536889104685468	0.16967859230608098	0.25582191847304553	1.0	1.0	-1816.1536273562922	0.0	9.293070867930526
12000	-1814.527916252048	-0.3557919157626248	-1814.1721243362854	0.05996553599508257	0.23417238474110716	31.002449284530876	25.48324759486692	0.32847231645832436	0.2667032577177125	0.15711718295280463	0.24770724287115847	1.0	1.0	-1814.1721243362854	0.0	9.91041357093868
13000	-1815.1179402301068	-0.49318778276552955	-1814.6247524473413	0.0662236825116371	0.2622026731027627	19.968946661948948	35.40894076698183	0.30909546317157205	0.2592698439213288	0.16547088738972024	0.2661638055173789	1.0	1.0	-1814.6247524473413	0.0	9.734980806265588
14000	-1817.3007678984088	0.24095088566544298	-1817.5417187840742	0.060139240606688744	0.2494666388138158	23.059442551666113	25.771355848902683	0.3215828458229219	0.2727719519191212	0.1491396514628525	0.25650555079510445	1.0	1.0	-1817.5417187840742	0.0	9.937815077349493
15000	-1813.0246818841408	0.860817197575038	-1813.8854990817158	0.06123594893321408	0.23240914549161934	14.022071382620698	29.108246534414054	0.3391609232844202	0.2635601021032964	0.14434084714083129	0.25293812747145217	1.0	1.0	-1813.8854990817158	0.0	9.94430544959601
16000	-1812.2820418930476	0.4079958030056581	-1812.6900376960532	0.06233809446167987	0.23664921664664043	12.210638823713476	33.56775947723243	0.334208598048334	0.2507344760554454	0.15078628923935516	0.2642706366568654	1.0	1.0	-1812.6900376960532	0.0	9.621899919955341
17000	-1813.7685954068063	0.6587728542602154	-1814.4273682610665	0.06765911802514182	0.24905599745075796	23.625470325581116	21.09620595813821	0.3290039400718653	0.2577161085152165	0.1598146370335862	0.253465314379332	1.0	1.0	-1814.4273682610665	0.0	9.927561828532864
18000	-1813.2737311442238	0.8667260563664776	-1814.1404572005904	0.05897464588203334	0.2380878596301885	20.462178756553676	24.60172411318018	0.3227568410306943	0.2548203530555585	0.15988123539557322	0.26254157051817395	1.0	1.0	-1814.1404572005904	0.0	10.221094873702246
19000	-1816.2465574044302	-2.9936574227691715	-1813.252899981661	0.0633082615567252	0.24027403622517388	46.26747371945317	24.59036463855349	0.3331761161447493	0.24470430336399207	0.15596755820505542	0.2661520222862032	1.0	1.0	-1813.252899981661	0.0	8.055323357267273
20000	-1815.6808960848105	0.044607307782392525	-1815.7255033925928	0.07106235550775204	0.2774406657849136	8.92670136590576	29.997660567768786	0.3423342997207042	0.24346573260359938	0.15390233308178514	0.26029763459391125	1.0	1.0	-1815.7255033925928	0.0	8.468604723436997
21000	-1813.2224916186167	0.670949671301381	-1813.893441289918	0.05911458150929952	0.21975893656181972	17.35506185716728	33.0159433035995	0.3277727883225645	0.24909663789324055	0.1596890619563834	0.2634415118278116	1.0	1.0	-1813.893441289918	0.0	10.455491129978522
22000	-1818.4466395278023	0.3470524871854277	-1818.7936920149878	0.05178955418533868	0.20078422783800826	7.864378689888979	31.832378913926433	0.3384755889114415	0.2488213898960124	0.15644484548312404	0.2562581757094222	1.0	1.0	-1818.7936920149878	0.0	8.732674480096708
23000	-1815.4271725031008	-0.12037607735612532	-1815.3067964257448	0.060770603751326396	0.22983480272627152	21.884525864200082	36.997882540610036	0.33878591727065177	0.23163083458231618	0.15960678310048826	0.26997646504654405	1.0	1.0	-1815.3067964257448	0.0	10.399073342907036
24000	-1819.3650778920687	0.8998024649699001	-1820.2648803570387	0.05871157976390845	0.2226789253911685	20.55232780922326	27.53812539233035	0.3390660650281599	0.22874166357208042	0.15462508672344125	0.2775671846763187	1.0	1.0	-1820.2648803570387	0.0	10.53830077873046
